Model,Test RMSE,Test MSE,Test MAE,Test R^2
1000 samples,0.1107,0.0123,0.0808,0.79932223
1500 samples,0.1068,0.0114,0.0787,0.813415474
2000 samples,0.1005,0.0101,0.0741,0.834819176
2500 samples,0.0915,0.0084,0.0695,0.863156285
3000 samples,0.0824,0.0068,0.0634,0.888819321
3500 samples,0.0742,0.0055,0.0581,0.910022844
4000 samples,0.0732,0.0054,0.0569,0.912243245
4500 samples,0.0726,0.0053,0.0566,0.913719906
5000 samples,0.0689,0.0048,0.0537,0.922262447
5500 samples,0.0671,0.0045,0.0525,0.926308808
6000 samples,0.0662,0.0044,0.0517,0.928225755
6500 samples,0.0655,0.0043,0.0512,0.929842693
7000 samples,0.0649,0.0042,0.0505,0.931106835
7500 samples,0.0639,0.0041,0.0499,0.93310055
8000 samples,0.0629,0.004,0.0489,0.935174272
8500 samples,0.0623,0.0039,0.0486,0.936562168
9000 samples,0.0622,0.0039,0.0482,0.936715252
9500 samples,0.0613,0.0038,0.0474,0.938559373
10000 samples,0.0608,0.0037,0.0471,0.939449628
10500 samples,0.0609,0.0037,0.0472,0.939261525
11000 samples,0.0605,0.0037,0.0469,0.94002964
11500 samples,0.0601,0.0036,0.0464,0.940898893
12000 samples,0.0599,0.0036,0.0465,0.941389479
12500 samples,0.0595,0.0035,0.046,0.942167213
13000 samples,0.0593,0.0035,0.046,0.942502028
13500 samples,0.0587,0.0034,0.0454,0.943706891
14000 samples,0.0585,0.0034,0.0453,0.944076146
14500 samples,0.0585,0.0034,0.0452,0.944019344
15000 samples,0.058,0.0034,0.0449,0.944891999
15500 samples,0.0581,0.0034,0.045,0.944782731
16000 samples,0.0579,0.0034,0.0448,0.945115967
