Model,Test RMSE,Test MSE,Test MAE,Test R^2
1000 samples,0.2708,0.0733,0.2067,0.981729949
1500 samples,0.2417,0.0584,0.1793,0.985444892
2000 samples,0.2438,0.0594,0.1783,0.985200273
2500 samples,0.2188,0.0479,0.163,0.988076659
3000 samples,0.2216,0.0491,0.1614,0.98776971
3500 samples,0.2193,0.0481,0.1623,0.988021868
4000 samples,0.2095,0.0439,0.1522,0.98906464
4500 samples,0.2442,0.0596,0.177,0.98514825
5000 samples,0.2037,0.0415,0.147,0.989661694
5500 samples,0.2039,0.0416,0.1496,0.989639838
6000 samples,0.1973,0.0389,0.141,0.99030327
6500 samples,0.2008,0.0403,0.1482,0.989955334
7000 samples,0.1924,0.037,0.1394,0.990776541
7500 samples,0.193,0.0373,0.1398,0.990717321
8000 samples,0.1869,0.0349,0.1348,0.991302803
8500 samples,0.1914,0.0366,0.1396,0.990871461
9000 samples,0.1968,0.0387,0.1419,0.990353927
9500 samples,0.1799,0.0324,0.1248,0.991936504
10000 samples,0.1848,0.0342,0.1322,0.991488744
10500 samples,0.1886,0.0356,0.1363,0.991142039
11000 samples,0.1823,0.0332,0.1283,0.991720492
11500 samples,0.1826,0.0333,0.1276,0.991693894
12000 samples,0.1814,0.0329,0.1276,0.991807235
12500 samples,0.1706,0.0291,0.1148,0.992749938
13000 samples,0.1721,0.0296,0.1224,0.992623808
13500 samples,0.1802,0.0325,0.1231,0.991915966
14000 samples,0.1661,0.0276,0.1125,0.993128699
14500 samples,0.171,0.0292,0.1217,0.992719622
15000 samples,0.1621,0.0263,0.1106,0.993455795
15500 samples,0.1714,0.0294,0.1212,0.99268499
16000 samples,0.1788,0.032,0.1197,0.992034953
